Id,GarageType,GarageQual,GarageCond,GarageYrBlt,GarageFinish,GarageCars,GarageArea
40,,,,,,0.0,0.0
49,,,,,,0.0,0.0
79,,,,,,0.0,0.0
89,,,,,,0.0,0.0
90,,,,,,0.0,0.0
100,,,,,,0.0,0.0
109,,,,,,0.0,0.0
126,,,,,,0.0,0.0
128,,,,,,0.0,0.0
141,,,,,,0.0,0.0
149,,,,,,0.0,0.0
156,,,,,,0.0,0.0
164,,,,,,0.0,0.0
166,,,,,,0.0,0.0
199,,,,,,0.0,0.0
211,,,,,,0.0,0.0
242,,,,,,0.0,0.0
251,,,,,,0.0,0.0
288,,,,,,0.0,0.0
292,,,,,,0.0,0.0
308,,,,,,0.0,0.0
376,,,,,,0.0,0.0
387,,,,,,0.0,0.0
394,,,,,,0.0,0.0
432,,,,,,0.0,0.0
435,,,,,,0.0,0.0
442,,,,,,0.0,0.0
465,,,,,,0.0,0.0
496,,,,,,0.0,0.0
521,,,,,,0.0,0.0
529,,,,,,0.0,0.0
534,,,,,,0.0,0.0
536,,,,,,0.0,0.0
563,,,,,,0.0,0.0
583,,,,,,0.0,0.0
614,,,,,,0.0,0.0
615,,,,,,0.0,0.0
621,,,,,,0.0,0.0
636,,,,,,0.0,0.0
637,,,,,,0.0,0.0
639,,,,,,0.0,0.0
650,,,,,,0.0,0.0
706,,,,,,0.0,0.0
711,,,,,,0.0,0.0
739,,,,,,0.0,0.0
751,,,,,,0.0,0.0
785,,,,,,0.0,0.0
827,,,,,,0.0,0.0
844,,,,,,0.0,0.0
922,,,,,,0.0,0.0
943,,,,,,0.0,0.0
955,,,,,,0.0,0.0
961,,,,,,0.0,0.0
969,,,,,,0.0,0.0
971,,,,,,0.0,0.0
977,,,,,,0.0,0.0
1010,,,,,,0.0,0.0
1012,,,,,,0.0,0.0
1031,,,,,,0.0,0.0
1039,,,,,,0.0,0.0
1097,,,,,,0.0,0.0
1124,,,,,,0.0,0.0
1132,,,,,,0.0,0.0
1138,,,,,,0.0,0.0
1144,,,,,,0.0,0.0
1174,,,,,,0.0,0.0
1180,,,,,,0.0,0.0
1219,,,,,,0.0,0.0
1220,,,,,,0.0,0.0
1235,,,,,,0.0,0.0
1258,,,,,,0.0,0.0
1284,,,,,,0.0,0.0
1324,,,,,,0.0,0.0
1326,,,,,,0.0,0.0
1327,,,,,,0.0,0.0
1338,,,,,,0.0,0.0
1350,,,,,,0.0,0.0
1408,,,,,,0.0,0.0
1450,,,,,,0.0,0.0
1451,,,,,,0.0,0.0
1454,,,,,,0.0,0.0
1514,,,,,,0.0,0.0
1532,,,,,,0.0,0.0
1540,,,,,,0.0,0.0
1553,,,,,,0.0,0.0
1557,,,,,,0.0,0.0
1559,,,,,,0.0,0.0
1561,,,,,,0.0,0.0
1591,,,,,,0.0,0.0
1594,,,,,,0.0,0.0
1595,,,,,,0.0,0.0
1615,,,,,,0.0,0.0
1616,,,,,,0.0,0.0
1718,,,,,,0.0,0.0
1722,,,,,,0.0,0.0
1788,,,,,,0.0,0.0
1809,,,,,,0.0,0.0
1811,,,,,,0.0,0.0
1812,,,,,,0.0,0.0
1820,,,,,,0.0,0.0
1823,,,,,,0.0,0.0
1832,,,,,,0.0,0.0
1835,,,,,,0.0,0.0
1837,,,,,,0.0,0.0
1840,,,,,,0.0,0.0
1848,,,,,,0.0,0.0
1894,,,,,,0.0,0.0
2011,,,,,,0.0,0.0
2082,,,,,,0.0,0.0
2091,,,,,,0.0,0.0
2094,,,,,,0.0,0.0
2097,,,,,,0.0,0.0
2100,,,,,,0.0,0.0
2105,,,,,,0.0,0.0
2127,Detchd,,,,,1.0,360.0
2136,,,,,,0.0,0.0
2152,,,,,,0.0,0.0
2154,,,,,,0.0,0.0
2190,,,,,,0.0,0.0
2191,,,,,,0.0,0.0
2192,,,,,,0.0,0.0
2193,,,,,,0.0,0.0
2194,,,,,,0.0,0.0
2213,,,,,,0.0,0.0
2239,,,,,,0.0,0.0
2247,,,,,,0.0,0.0
2354,,,,,,0.0,0.0
2355,,,,,,0.0,0.0
2399,,,,,,0.0,0.0
2400,,,,,,0.0,0.0
2423,,,,,,0.0,0.0
2427,,,,,,0.0,0.0
2553,,,,,,0.0,0.0
2554,,,,,,0.0,0.0
2558,,,,,,0.0,0.0
2576,,,,,,0.0,0.0
2577,Detchd,,,,,,
2580,,,,,,0.0,0.0
2604,,,,,,0.0,0.0
2610,,,,,,0.0,0.0
2692,,,,,,0.0,0.0
2694,,,,,,0.0,0.0
2709,,,,,,0.0,0.0
2768,,,,,,0.0,0.0
2772,,,,,,0.0,0.0
2790,,,,,,0.0,0.0
2792,,,,,,0.0,0.0
2800,,,,,,0.0,0.0
2860,,,,,,0.0,0.0
2863,,,,,,0.0,0.0
2871,,,,,,0.0,0.0
2889,,,,,,0.0,0.0
2892,,,,,,0.0,0.0
2893,,,,,,0.0,0.0
2894,,,,,,0.0,0.0
2910,,,,,,0.0,0.0
2914,,,,,,0.0,0.0
2915,,,,,,0.0,0.0
2918,,,,,,0.0,0.0
